The system temp is: 4.14293 
The final system temp is: 2.38868 
Fx(N),            Fy(N),            Fz(N)
1.40753e-10,    4.85963e-10,    1.40753e-10
1.18751e-10,    -7.59956e-11,    1.18751e-10
-7.77202e-11,    -4.00018e-11,    -7.77202e-11
2.6042e-10,    -2.8188e-11,    2.6042e-10
1.63446e-10,    1.37165e-10,    1.63446e-10
-1.01133e-10,    1.80631e-10,    -1.01133e-10
4.54597e-11,    -3.65218e-11,    4.54597e-11
9.70245e-11,    -1.59331e-11,    9.70245e-11
-1.15151e-10,    -8.81454e-11,    -1.15151e-10
-4.92494e-11,    -5.04103e-11,    -4.92494e-11
1.41539e-10,    1.09922e-10,    1.41539e-10
-8.3692e-12,    -3.96527e-11,    -8.3692e-12
-1.24212e-10,    -3.28005e-12,    -1.24212e-10
-7.66602e-11,    -1.43359e-10,    -7.66602e-11
-7.51968e-11,    -1.1138e-11,    -7.51968e-11
-1.29816e-10,    6.41592e-11,    -1.29816e-10
2.98898e-11,    -4.7261e-11,    2.98898e-11
1.96555e-10,    -7.95169e-11,    1.96555e-10
-7.21784e-11,    2.72767e-10,    -7.21784e-11
3.13752e-12,    -7.77354e-11,    3.13752e-12
9.71172e-11,    2.40199e-10,    9.71172e-11
-1.21356e-10,    1.60373e-10,    -1.21356e-10
2.89898e-11,    4.06594e-11,    2.89898e-11
-4.76133e-11,    1.83144e-10,    -4.76133e-11
-2.86917e-11,    -2.02454e-10,    -2.86917e-11
2.16631e-10,    -9.76156e-11,    2.16631e-10
-1.21756e-11,    1.63149e-11,    -1.21756e-11
-3.96034e-10,    4.29165e-10,    -3.96034e-10
1.25419e-11,    -5.36566e-11,    1.25419e-11
-1.94551e-10,    2.41853e-11,    -1.94551e-10
1.66916e-10,    2.16589e-10,    1.66916e-10
1.25053e-10,    2.84001e-11,    1.25053e-10
3.14258e-10,    2.53333e-10,    3.14258e-10
-2.15884e-10,    3.71845e-11,    -2.15884e-10
-4.18871e-11,    1.05648e-11,    -4.18871e-11
-1.85905e-11,    -2.38332e-10,    -1.85905e-11
-2.49528e-10,    1.92072e-10,    -2.49528e-10
-9.52526e-11,    -6.71508e-11,    -9.52526e-11
1.51956e-10,    -1.04076e-11,    1.51956e-10
1.82909e-10,    1.11113e-11,    1.82909e-10
1.33533e-10,    -1.26496e-10,    1.33533e-10
1.51507e-10,    -1.80645e-10,    1.51507e-10
1.44964e-10,    4.51798e-10,    1.44964e-10
2.17695e-10,    -1.14355e-10,    2.17695e-10
4.1682e-11,    -1.18443e-10,    4.1682e-11
-5.32739e-11,    -6.25391e-11,    -5.32739e-11
-1.13345e-10,    -4.41741e-11,    -1.13345e-10
1.36952e-10,    5.95125e-11,    1.36952e-10
8.11648e-11,    3.03988e-10,    8.11648e-11
1.61044e-10,    4.47473e-11,    1.61044e-10
-1.34384e-10,    -3.09127e-10,    -1.34384e-10
-1.93267e-13,    -7.51464e-13,    -1.93267e-13
-3.77408e-10,    2.94317e-10,    -3.77408e-10
-3.92603e-11,    -6.35042e-11,    -3.92603e-11
1.37117e-10,    2.0364e-10,    1.37117e-10
1.29947e-10,    4.2649e-11,    1.29947e-10
2.34396e-11,    4.25177e-10,    2.34396e-11
2.1486e-10,    1.31441e-10,    2.1486e-10
4.08105e-11,    -3.08706e-11,    4.08105e-11
2.20764e-11,    -5.17084e-11,    2.20764e-11
-8.98924e-11,    -1.2707e-10,    -8.98924e-11
1.86527e-10,    7.79514e-11,    1.86527e-10
-1.22301e-10,    -4.56625e-11,    -1.22301e-10
-1.55157e-11,    -1.43792e-10,    -1.55157e-11
-3.96465e-10,    2.90779e-10,    -3.96465e-10
1.64969e-10,    5.68087e-11,    1.64969e-10
8.29029e-11,    -1.54289e-10,    8.29029e-11
6.59203e-11,    7.60813e-12,    6.59203e-11
-1.32408e-10,    1.3677e-10,    -1.32408e-10
6.36771e-12,    1.00687e-11,    6.36771e-12
-1.12104e-10,    2.71626e-11,    -1.12104e-10
4.79962e-11,    3.9344e-11,    4.79962e-11
2.83995e-10,    3.09191e-10,    2.83995e-10
1.15353e-10,    -2.87175e-11,    1.15353e-10
-8.12086e-11,    -1.45214e-11,    -8.12086e-11
-1.42254e-10,    2.31174e-11,    -1.42254e-10
5.16599e-11,    -1.11709e-10,    5.16599e-11
3.17461e-12,    1.48792e-11,    3.17461e-12
7.75269e-11,    1.6063e-10,    7.75269e-11
-5.41104e-11,    2.00211e-11,    -5.41104e-11
9.41589e-11,    -1.48956e-10,    9.41589e-11
-7.66136e-11,    7.14467e-11,    -7.66136e-11
-1.04075e-10,    3.67595e-11,    -1.04075e-10
-2.50848e-10,    -1.21217e-10,    -2.50848e-10
3.48149e-12,    1.53459e-10,    3.48149e-12
4.17877e-11,    2.73786e-10,    4.17877e-11
8.77402e-11,    1.9747e-11,    8.77402e-11
-4.60356e-11,    -1.10696e-10,    -4.60356e-11
7.21392e-11,    1.32023e-10,    7.21392e-11
1.67397e-10,    -1.00303e-10,    1.67397e-10
-2.3495e-12,    3.48296e-11,    -2.3495e-12
5.02893e-11,    1.50603e-10,    5.02893e-11
-9.35893e-11,    2.3173e-10,    -9.35893e-11
3.77001e-11,    7.2123e-11,    3.77001e-11
-5.78259e-12,    -1.39971e-10,    -5.78259e-12
-9.46068e-11,    3.07443e-10,    -9.46068e-11
-1.68661e-11,    -1.2865e-11,    -1.68661e-11
-2.38788e-11,    2.66409e-10,    -2.38788e-11
-6.60417e-11,    1.09684e-10,    -6.60417e-11
-7.33513e-11,    -2.80449e-11,    -7.33513e-11
-8.7507e-12,    1.07995e-10,    -8.7507e-12
-1.87319e-10,    -1.50656e-10,    -1.87319e-10
1.48805e-11,    -3.99005e-11,    1.48805e-11
-2.43081e-11,    8.99657e-11,    -2.43081e-11
-7.07346e-11,    1.84067e-11,    -7.07346e-11
-2.87584e-11,    1.66246e-11,    -2.87584e-11
-2.21549e-10,    4.2055e-11,    -2.21549e-10
3.92664e-10,    1.045e-10,    3.92664e-10
-4.03551e-10,    3.20143e-10,    -4.03551e-10
1.03321e-10,    -1.79703e-12,    1.03321e-10
7.92567e-11,    -3.4251e-11,    7.92567e-11
-2.9899e-11,    -1.26212e-10,    -2.9899e-11
2.60196e-10,    -4.13544e-11,    2.60196e-10
-1.61825e-10,    -1.34181e-10,    -1.61825e-10
-5.87348e-11,    -1.17496e-10,    -5.87348e-11
-1.1197e-11,    2.23893e-10,    -1.1197e-11
7.47669e-10,    5.56118e-10,    7.47669e-10
1.6024e-11,    -1.4939e-10,    1.6024e-11
-1.45674e-10,    1.12822e-10,    -1.45674e-10
1.02025e-10,    5.71435e-11,    1.02025e-10
-3.15712e-11,    2.49583e-10,    -3.15712e-11
1.64152e-10,    -1.73211e-10,    1.64152e-10
-1.33489e-10,    -2.12944e-10,    -1.33489e-10
1.17125e-10,    1.24547e-11,    1.17125e-10
8.33152e-11,    3.4437e-11,    8.33152e-11
-3.21451e-10,    1.5395e-11,    -3.21451e-10
-7.19004e-11,    7.87594e-11,    -7.19004e-11
