Step, TotalE, KinE(ev/atom), PotE(ev/at), Temp(K)
193, -0.0184461 ,0.0190234, -0.0564929, 157.974
194, -0.0184892 ,0.018972, -0.0564332, 157.261
195, -0.0184931 ,0.0189562, -0.0564055, 156.798
196, -0.0184751 ,0.0189647, -0.0564045, 156.58
197, -0.0184711 ,0.0189766, -0.0564243, 156.568
198, -0.0184746 ,0.0189926, -0.0564598, 156.719
199, -0.0184703 ,0.019017, -0.0565044, 156.99
200, -0.018426 ,0.0190616, -0.0565491, 157.33
201, -0.0183849 ,0.0191007, -0.0565862, 157.671
202, -0.0183617 ,0.0191276, -0.0566169, 157.958
203, -0.0183656 ,0.0191439, -0.0566534, 158.203
204, -0.0183927 ,0.0191586, -0.05671, 158.494
205, -0.0183909 ,0.0191997, -0.0567904, 158.935
206, -0.0183801 ,0.019252, -0.0568842, 159.553
207, -0.0183574 ,0.0193093, -0.056976, 160.273
208, -0.0183322 ,0.0193617, -0.0570555, 160.98
209, -0.0183258 ,0.0193967, -0.0571193, 161.596
210, -0.0183425 ,0.0194126, -0.0571677, 162.091
211, -0.0183695 ,0.0194177, -0.0572049, 162.469
212, -0.0184206 ,0.0194102, -0.0572409, 162.763
213, -0.0185037 ,0.019393, -0.0572898, 163.05
214, -0.0186155 ,0.0193736, -0.0573627, 163.435
215, -0.0187338 ,0.0193629, -0.0574596, 164
216, -0.0188274 ,0.0193682, -0.0575638, 164.741
217, -0.0188779 ,0.0193831, -0.0576441, 165.531
218, -0.0189239 ,0.0193702, -0.0576644, 166.133
219, -0.0189734 ,0.0193102, -0.0575939, 166.273
220, -0.0189952 ,0.0192102, -0.0574156, 165.716
221, -0.0189464 ,0.0190934, -0.0571333, 164.334
222, -0.0188561 ,0.0189606, -0.0567773, 162.159
223, -0.018748 ,0.0188289, -0.0564058, 159.429
224, -0.0186108 ,0.0187411, -0.0560929, 156.587
225, -0.0185109 ,0.0186948, -0.0559004, 154.195
226, -0.0184828 ,0.0186823, -0.0558473, 152.712
227, -0.0184864 ,0.0187153, -0.055917, 152.292
228, -0.0184421 ,0.0188195, -0.056081, 152.819
229, -0.0183923 ,0.0189546, -0.0563015, 154.073
230, -0.0183509 ,0.0190882, -0.0565273, 155.757
231, -0.0183093 ,0.019199, -0.0567074, 157.481
232, -0.018272 ,0.0192672, -0.0568065, 158.859
233, -0.0182383 ,0.0192864, -0.0568111, 159.62
234, -0.0182244 ,0.0192548, -0.0567341, 159.662
235, -0.01824 ,0.0191886, -0.0566172, 159.086
236, -0.0182691 ,0.0191217, -0.0565126, 158.209
237, -0.018297 ,0.0190717, -0.0564404, 157.409
238, -0.0183171 ,0.0190313, -0.0563796, 156.838
239, -0.0183359 ,0.0189819, -0.0562996, 156.352
240, -0.0183587 ,0.0189121, -0.0561828, 155.724
241, -0.0184073 ,0.0188115, -0.0560303, 154.82
242, -0.0184897 ,0.0186889, -0.0558675, 153.651
243, -0.018552 ,0.0185955, -0.0557429, 152.416
244, -0.0185945 ,0.0185544, -0.0557033, 151.477
245, -0.018614 ,0.0185713, -0.0557566, 151.175
246, -0.0186248 ,0.0186195, -0.0558638, 151.565
247, -0.0186315 ,0.0186706, -0.0559728, 152.368
248, -0.0186372 ,0.0187097, -0.0560565, 153.198
249, -0.0186377 ,0.0187437, -0.056125, 153.853
250, -0.018632 ,0.0187867, -0.0562054, 154.4
251, -0.018636 ,0.0188374, -0.0563107, 155.03
252, -0.0186274 ,0.0189011, -0.0564295, 155.84
253, -0.018621 ,0.0189601, -0.0565412, 156.749
254, -0.0185955 ,0.0190182, -0.0566318, 157.608
255, -0.0185735 ,0.0190606, -0.0566946, 158.307
256, -0.01855 ,0.0190876, -0.0567253, 158.791
257, -0.0185063 ,0.0191103, -0.0567269, 159.029
258, -0.0184898 ,0.0191144, -0.0567186, 159.051
259, -0.0184896 ,0.0191217, -0.0567331, 159.004
260, -0.0185051 ,0.0191477, -0.0568005, 159.132
261, -0.0185365 ,0.0191978, -0.0569321, 159.661
262, -0.0185614 ,0.0192753, -0.057112, 160.672
263, -0.0185729 ,0.0193655, -0.0573039, 162.047
264, -0.0185615 ,0.0194533, -0.0574681, 163.512
265, -0.0185446 ,0.0195166, -0.0575778, 164.771
266, -0.018535 ,0.0195443, -0.0576237, 165.616
267, -0.0185312 ,0.0195396, -0.0576105, 165.974
268, -0.0185305 ,0.01951, -0.0575505, 165.879
269, -0.0185381 ,0.0194598, -0.0574577, 165.421
270, -0.0185611 ,0.0193909, -0.057343, 164.708
271, -0.0186022 ,0.0193052, -0.0572126, 163.823
272, -0.0186559 ,0.0192068, -0.0570695, 162.815
273, -0.0187043 ,0.019107, -0.0569182, 161.709
274, -0.0187228 ,0.0190248, -0.0567725, 160.544
275, -0.0187196 ,0.0189689, -0.0566574, 159.429
276, -0.0186637 ,0.0189686, -0.056601, 158.554
277, -0.0185778 ,0.0190183, -0.0566144, 158.124
278, -0.0185051 ,0.0190864, -0.056678, 158.217
279, -0.0184611 ,0.0191433, -0.0567477, 158.684
280, -0.0184386 ,0.0191713, -0.0567812, 159.2
281, -0.0184379 ,0.0191636, -0.0567651, 159.451
282, -0.0184588 ,0.0191333, -0.0567254, 159.339
283, -0.0184866 ,0.0191088, -0.0567042, 159.055
284, -0.0185088 ,0.0191056, -0.05672, 158.9
285, -0.0185414 ,0.0191058, -0.056753, 159.011
286, -0.0185918 ,0.0190878, -0.0567674, 159.248
287, -0.0186504 ,0.0190458, -0.056742, 159.349
288, -0.0187029 ,0.0189891, -0.0566812, 159.156
289, -0.0187415 ,0.0189325, -0.0566064, 158.698
290, -0.0187657 ,0.0188864, -0.0565386, 158.131
291, -0.0187737 ,0.0188563, -0.0564862, 157.61
292, -0.018791 ,0.0188276, -0.0564461, 157.201
293, -0.0188214 ,0.0187962, -0.0564138, 156.888
294, -0.018841 ,0.0187753, -0.0563915, 156.638
295, -0.0188716 ,0.0187583, -0.0563882, 156.47
296, -0.0188944 ,0.0187588, -0.0564119, 156.449
297, -0.0189321 ,0.018766, -0.056464, 156.634
298, -0.0189847 ,0.0187765, -0.0565377, 157.034
299, -0.0190399 ,0.0187909, -0.0566217, 157.599
300, -0.0190999 ,0.018802, -0.0567038, 158.244
301, -0.019152 ,0.0188103, -0.0567726, 158.874
302, -0.0191844 ,0.0188176, -0.0568196, 159.402
303, -0.0191713 ,0.0188349, -0.0568411, 159.764
304, -0.0191026 ,0.0188681, -0.0568389, 159.93
305, -0.0189912 ,0.0189154, -0.0568219, 159.917
306, -0.0188727 ,0.0189649, -0.0568025, 159.791
307, -0.0187812 ,0.0190022, -0.0567855, 159.643
308, -0.0187316 ,0.0190157, -0.056763, 159.506
309, -0.0187024 ,0.0190111, -0.0567246, 159.326
310, -0.0186613 ,0.0190058, -0.0566728, 159.03
311, -0.0186345 ,0.0189949, -0.0566243, 158.638
312, -0.0186068 ,0.0189955, -0.0565977, 158.271
313, -0.0185995 ,0.0190014, -0.0566023, 158.07
314, -0.0186215 ,0.0190071, -0.0566358, 158.104
315, -0.0186359 ,0.019026, -0.0566879, 158.357
316, -0.0186142 ,0.0190645, -0.0567432, 158.753
317, -0.0185936 ,0.0190955, -0.0567845, 159.173
