Distance, Counts 
1.14838, 2.22952 
1.15257, 1.47557 
1.15676, 1.53151 
1.16096, 1.52049 
1.16515, 2.1003 
1.16934, 1.8898 
1.17353, 1.22933 
1.17772, 1.22061 
1.18191, 1.1482 
1.1861, 1.52015 
1.19029, 1.50948 
1.19449, 0.874374 
1.19868, 1.17838 
1.20287, 1.53973 
1.20706, 1.10094 
1.21125, 1.15408 
1.21544, 1.56842 
1.21963, 1.37795 
1.22382, 1.07103 
1.22801, 1.00465 
1.23221, 0.763052 
1.2364, 1.34089 
1.24059, 0.8107 
1.24478, 1.84059 
1.24897, 1.71401 
1.25316, 1.36207 
1.25735, 0.902012 
1.26154, 1.17605 
1.26574, 1.16829 
1.26993, 1.43694 
1.27412, 0.988278 
1.27831, 1.09091 
1.2825, 1.19218 
1.28669, 0.969089 
1.29088, 1.0698 
1.29507, 0.850315 
1.29926, 0.792044 
1.30346, 0.786967 
1.30765, 1.09471 
1.31184, 0.776958 
1.31603, 1.1323 
1.32022, 0.920567 
1.32441, 0.914759 
1.3286, 1.06051 
1.33279, 0.903306 
1.33699, 1.19688 
1.34118, 0.842508 
1.34537, 0.837275 
1.34956, 0.391572 
1.35375, 0.924244 
1.35794, 0.966901 
1.36213, 0.912921 
1.36632, 0.764073 
1.37051, 0.854341 
1.37471, 0.849148 
1.3789, 0.562668 
1.38309, 0.932113 
1.38728, 0.555899 
1.39147, 0.55256 
1.39566, 0.869648 
1.39985, 0.682465 
1.40404, 0.994991 
1.40824, 1.079 
1.41243, 0.849156 
1.41662, 0.71086 
1.42081, 0.927516 
1.425, 0.658625 
1.42919, 0.480167 
1.43338, 0.781147 
1.43757, 0.90604 
1.44176, 1.11526 
1.44596, 0.895581 
1.45015, 0.508811 
1.45434, 0.548044 
1.45853, 0.838312 
1.46272, 0.791846 
1.46691, 0.953089 
1.4711, 0.453235 
1.47529, 0.696486 
1.47949, 0.651812 
1.48368, 0.850684 
1.48787, 0.886186 
1.49206, 0.640888 
1.49625, 1.11529 
1.50044, 0.752587 
1.50463, 0.512067 
1.50882, 0.783431 
1.51301, 0.779103 
1.51721, 0.619848 
1.5214, 0.770553 
1.52559, 0.766331 
1.52978, 0.685929 
1.53397, 0.492694 
1.53816, 0.753871 
1.54235, 0.749785 
